Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
LED1,KT-0805W,emc5050-1,48.28mm,-23.167mm,48.28mm,-23.167mm,48.28mm,-21.917mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED2,KT-0805W,emc5050-1,43.026mm,-22.913mm,43.026mm,-22.913mm,43.026mm,-21.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED3,KT-0805W,emc5050-1,37.772mm,-23.167mm,37.772mm,-23.167mm,37.772mm,-21.917mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED4,KT-0805W,emc5050-1,32.518mm,-22.913mm,32.518mm,-22.913mm,32.518mm,-21.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED5,KT-0805W,emc5050-1,27.264mm,-23.167mm,27.264mm,-23.167mm,27.264mm,-21.917mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED6,KT-0805W,emc5050-1,22.01mm,-22.913mm,22.01mm,-22.913mm,22.01mm,-21.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED7,KT-0805W,emc5050-1,16.756mm,-23.167mm,16.756mm,-23.167mm,16.756mm,-21.917mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED8,KT-0805W,emc5050-1,11.502mm,-22.913mm,11.502mm,-22.913mm,11.502mm,-21.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED9,KT-0805W,emc5050-1,48.26mm,-17.907mm,48.26mm,-17.907mm,48.26mm,-16.657mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED10,KT-0805W,emc5050-1,43.026mm,-17.659mm,43.026mm,-17.659mm,43.026mm,-16.409mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED11,KT-0805W,emc5050-1,37.772mm,-17.913mm,37.772mm,-17.913mm,37.772mm,-16.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED12,KT-0805W,emc5050-1,32.518mm,-17.659mm,32.518mm,-17.659mm,32.518mm,-16.409mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED13,KT-0805W,emc5050-1,27.264mm,-17.913mm,27.264mm,-17.913mm,27.264mm,-16.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED14,KT-0805W,emc5050-1,22.01mm,-17.659mm,22.01mm,-17.659mm,22.01mm,-16.409mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED15,KT-0805W,emc5050-1,16.756mm,-17.913mm,16.756mm,-17.913mm,16.756mm,-16.663mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED16,KT-0805W,emc5050-1,11.502mm,-17.659mm,11.502mm,-17.659mm,11.502mm,-16.409mm,2,T,270,Yes,SAW9L60A,SAW9L60A
LED17,KT-0805W,emc5050-1,48.28mm,-12.532mm,48.28mm,-12.532mm,48.28mm,-13.782mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED18,KT-0805W,emc5050-1,43.026mm,-12.278mm,43.026mm,-12.278mm,43.026mm,-13.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED19,KT-0805W,emc5050-1,37.772mm,-12.532mm,37.772mm,-12.532mm,37.772mm,-13.782mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED20,KT-0805W,emc5050-1,32.518mm,-12.278mm,32.518mm,-12.278mm,32.518mm,-13.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED21,KT-0805W,emc5050-1,27.264mm,-12.532mm,27.264mm,-12.532mm,27.264mm,-13.782mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED22,KT-0805W,emc5050-1,22.01mm,-12.278mm,22.01mm,-12.278mm,22.01mm,-13.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED23,KT-0805W,emc5050-1,16.756mm,-12.532mm,16.756mm,-12.532mm,16.756mm,-13.782mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED24,KT-0805W,emc5050-1,11.502mm,-12.278mm,11.502mm,-12.278mm,11.502mm,-13.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED25,KT-0805W,emc5050-1,48.28mm,-7.278mm,48.28mm,-7.278mm,48.28mm,-8.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED26,KT-0805W,emc5050-1,43.026mm,-7.024mm,43.026mm,-7.024mm,43.026mm,-8.274mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED27,KT-0805W,emc5050-1,37.772mm,-7.278mm,37.772mm,-7.278mm,37.772mm,-8.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED28,KT-0805W,emc5050-1,32.518mm,-7.024mm,32.518mm,-7.024mm,32.518mm,-8.274mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED29,KT-0805W,emc5050-1,27.264mm,-7.278mm,27.264mm,-7.278mm,27.264mm,-8.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED30,KT-0805W,emc5050-1,22.01mm,-7.024mm,22.01mm,-7.024mm,22.01mm,-8.274mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED31,KT-0805W,emc5050-1,16.756mm,-7.278mm,16.756mm,-7.278mm,16.756mm,-8.528mm,2,T,90,Yes,SAW9L60A,SAW9L60A
LED32,KT-0805W,emc5050-1,11.502mm,-7.024mm,11.502mm,-7.024mm,11.502mm,-8.274mm,2,T,90,Yes,SAW9L60A,SAW9L60A
R1,SDNT1608X103F3435FTF,R0603,1.905mm,-5.969mm,1.905mm,-5.969mm,1.905mm,-5.216mm,2,T,270,Yes,SDNT1608X103F3435FTF,SDNT1608X103F3435FTF
